,Mjob,Fjob,traveltime,studytime,failures,internet,freetime,absences,G1,G2,G3,Average,approved
155,0.0,0.0,1.0,1.0,0.0,1.0,4.0,22.0,9.0,7.0,6.0,7.0,0.0
156,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,12.0,12.0,12.0,12.0,0.0
157,2.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,11.0,10.0,10.0,10.0,0.0
158,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,11.0,11.0,11.0,11.0,0.0
159,2.0,0.0,1.0,2.0,0.0,1.0,3.0,6.0,13.0,12.0,13.0,12.0,0.0
160,2.0,1.0,1.0,2.0,0.0,0.0,3.0,6.0,11.0,11.0,11.0,11.0,0.0
161,3.0,3.0,1.0,1.0,0.0,1.0,3.0,16.0,9.0,9.0,8.0,8.0,0.0
162,1.0,0.0,4.0,1.0,0.0,1.0,5.0,0.0,12.0,11.0,11.0,11.0,0.0
163,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,11.0,9.0,0.0,6.0,0.0
164,2.0,0.0,1.0,1.0,1.0,0.0,4.0,6.0,9.0,10.0,10.0,9.0,0.0
165,1.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,13.0,13.0,13.0,13.0,0.0
166,1.0,2.0,1.0,1.0,0.0,1.0,5.0,6.0,11.0,9.0,11.0,10.0,0.0
167,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,13.0,13.0,13.0,0.0
168,2.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,7.0,8.0,8.0,7.0,0.0
169,0.0,0.0,1.0,1.0,3.0,0.0,2.0,14.0,9.0,8.0,10.0,9.0,0.0
170,2.0,0.0,3.0,1.0,3.0,0.0,2.0,6.0,11.0,10.0,11.0,10.0,0.0
171,2.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,12.0,10.0,11.0,11.0,0.0
172,0.0,1.0,1.0,2.0,1.0,1.0,5.0,0.0,10.0,10.0,1.0,7.0,0.0
173,4.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,9.0,8.0,10.0,9.0,0.0
174,2.0,0.0,2.0,1.0,1.0,1.0,3.0,8.0,8.0,8.0,9.0,8.0,0.0
175,0.0,0.0,2.0,2.0,2.0,1.0,4.0,4.0,7.0,6.0,8.0,7.0,0.0
176,0.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,8.0,9.0,10.0,9.0,0.0
177,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,9.0,8.0,8.0,8.0,0.0
178,0.0,1.0,4.0,2.0,0.0,0.0,3.0,0.0,8.0,8.0,8.0,8.0,0.0
179,1.0,1.0,2.0,1.0,3.0,0.0,5.0,10.0,8.0,7.0,8.0,7.0,0.0
180,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,9.0,10.0,11.0,10.0,0.0
181,4.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,17.0,17.0,18.0,17.0,1.0
182,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,12.0,12.0,13.0,12.0,0.0
183,4.0,4.0,1.0,2.0,0.0,1.0,4.0,0.0,16.0,16.0,17.0,16.0,1.0
184,0.0,0.0,3.0,1.0,1.0,1.0,4.0,4.0,9.0,9.0,10.0,9.0,0.0
185,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,16.0,17.0,18.0,17.0,1.0
186,3.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,11.0,9.0,10.0,10.0,0.0
187,2.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,14.0,13.0,13.0,13.0,0.0
188,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,14.0,14.0,15.0,14.0,0.0
189,3.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,10.0,11.0,11.0,10.0,0.0
190,1.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,13.0,12.0,14.0,13.0,0.0
191,0.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,11.0,9.0,10.0,10.0,0.0
192,3.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,10.0,9.0,11.0,10.0,0.0
193,0.0,0.0,1.0,2.0,0.0,1.0,2.0,4.0,11.0,11.0,13.0,11.0,0.0
194,3.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,11.0,10.0,11.0,10.0,0.0
195,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,11.0,12.0,13.0,12.0,0.0
196,1.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,17.0,18.0,17.0,17.0,1.0
197,0.0,0.0,1.0,2.0,0.0,1.0,3.0,32.0,14.0,13.0,14.0,13.0,0.0
198,0.0,0.0,1.0,2.0,0.0,1.0,2.0,8.0,14.0,15.0,16.0,15.0,1.0
199,1.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,11.0,13.0,14.0,12.0,0.0
200,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,10.0,9.0,11.0,10.0,0.0
201,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,13.0,14.0,16.0,14.0,0.0
202,4.0,0.0,1.0,2.0,0.0,1.0,3.0,10.0,12.0,13.0,14.0,13.0,0.0
203,2.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,9.0,9.0,10.0,9.0,0.0
204,1.0,1.0,1.0,2.0,0.0,1.0,3.0,6.0,12.0,12.0,13.0,12.0,0.0
205,2.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,12.0,11.0,12.0,11.0,0.0
206,2.0,1.0,2.0,2.0,0.0,1.0,4.0,16.0,10.0,11.0,12.0,11.0,0.0
207,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,11.0,10.0,10.0,10.0,0.0
208,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,13.0,12.0,12.0,12.0,0.0
209,1.0,1.0,1.0,2.0,0.0,1.0,3.0,8.0,14.0,15.0,16.0,15.0,1.0
210,1.0,3.0,1.0,1.0,0.0,1.0,2.0,4.0,13.0,13.0,14.0,13.0,0.0
211,3.0,0.0,3.0,1.0,0.0,1.0,3.0,16.0,10.0,11.0,12.0,11.0,0.0
212,1.0,3.0,2.0,1.0,1.0,1.0,2.0,30.0,14.0,15.0,16.0,15.0,1.0
213,3.0,3.0,1.0,2.0,0.0,1.0,5.0,0.0,11.0,10.0,11.0,10.0,0.0
214,4.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,14.0,14.0,15.0,14.0,0.0
215,0.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,11.0,12.0,12.0,11.0,0.0
216,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,14.0,15.0,15.0,14.0,0.0
217,0.0,0.0,1.0,1.0,0.0,1.0,3.0,21.0,13.0,13.0,13.0,13.0,0.0
218,1.0,1.0,2.0,4.0,0.0,1.0,3.0,6.0,13.0,13.0,13.0,13.0,0.0
219,2.0,1.0,1.0,3.0,1.0,1.0,4.0,14.0,8.0,9.0,8.0,8.0,0.0
220,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,11.0,11.0,12.0,11.0,0.0
221,3.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,14.0,15.0,15.0,14.0,0.0
222,2.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,12.0,13.0,13.0,12.0,0.0
223,3.0,0.0,2.0,3.0,0.0,1.0,4.0,0.0,11.0,12.0,12.0,11.0,0.0
224,0.0,0.0,1.0,4.0,0.0,1.0,3.0,4.0,12.0,12.0,12.0,12.0,0.0
225,1.0,0.0,1.0,2.0,0.0,1.0,3.0,15.0,13.0,12.0,12.0,12.0,0.0
226,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,13.0,13.0,13.0,13.0,0.0
227,1.0,0.0,1.0,2.0,0.0,1.0,4.0,10.0,12.0,11.0,11.0,11.0,0.0
228,1.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,12.0,11.0,11.0,11.0,0.0
229,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,14.0,16.0,15.0,15.0,1.0
230,0.0,0.0,1.0,2.0,0.0,1.0,4.0,16.0,11.0,9.0,10.0,10.0,0.0
231,1.0,4.0,1.0,2.0,0.0,1.0,2.0,10.0,10.0,10.0,10.0,10.0,0.0
232,2.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,12.0,13.0,13.0,12.0,0.0
233,2.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,12.0,12.0,13.0,12.0,0.0
234,2.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,11.0,10.0,11.0,10.0,0.0
235,2.0,0.0,1.0,3.0,0.0,0.0,3.0,12.0,12.0,12.0,12.0,12.0,0.0
236,1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,13.0,13.0,14.0,13.0,0.0
237,0.0,0.0,2.0,2.0,3.0,1.0,3.0,9.0,10.0,9.0,10.0,9.0,0.0
238,3.0,1.0,1.0,3.0,0.0,1.0,3.0,4.0,15.0,16.0,16.0,15.0,1.0
239,0.0,0.0,1.0,2.0,0.0,1.0,3.0,4.0,8.0,8.0,8.0,8.0,0.0
240,0.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,17.0,18.0,17.0,17.0,1.0
241,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,10.0,11.0,11.0,10.0,0.0
242,2.0,0.0,4.0,2.0,0.0,1.0,3.0,2.0,9.0,10.0,11.0,10.0,0.0
243,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,15.0,15.0,16.0,15.0,1.0
244,4.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,14.0,12.0,12.0,12.0,0.0
245,0.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,12.0,13.0,13.0,12.0,0.0
246,3.0,3.0,1.0,2.0,0.0,1.0,5.0,0.0,13.0,13.0,13.0,13.0,0.0
247,4.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,13.0,13.0,14.0,13.0,0.0
248,0.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,9.0,9.0,9.0,9.0,0.0
249,2.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,12.0,12.0,12.0,12.0,0.0
250,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,16.0,16.0,16.0,16.0,1.0
251,0.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,9.0,10.0,10.0,9.0,0.0
252,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,14.0,13.0,13.0,13.0,0.0
253,1.0,0.0,2.0,2.0,1.0,1.0,3.0,18.0,10.0,10.0,10.0,10.0,0.0
254,2.0,1.0,1.0,2.0,1.0,1.0,3.0,16.0,9.0,8.0,10.0,9.0,0.0
255,0.0,0.0,2.0,1.0,1.0,1.0,1.0,14.0,8.0,7.0,7.0,7.0,0.0
256,0.0,2.0,1.0,1.0,1.0,1.0,4.0,26.0,7.0,8.0,8.0,7.0,0.0
